C:\Users\Administrator\Anaconda3\python.exe C:/Users/Administrator/Github/learning_nn/2013MikolovWV/src/mikolov_bi_sg.py
Epoch: 0/100	Batch Loss:10.305291480105277	Test Loss: 11.305036544799805	Accuracy: 1.2199999764561653%
Epoch: 1/100	Batch Loss:10.304930912295463	Test Loss: 11.304801940917969	Accuracy: 1.1800000444054604%
Epoch: 2/100	Batch Loss:10.304552392969104	Test Loss: 11.304572105407715	Accuracy: 1.5399999916553497%
Epoch: 3/100	Batch Loss:10.304142876850406	Test Loss: 11.303760528564453	Accuracy: 2.239999920129776%
Epoch: 4/100	Batch Loss:10.303687049051819	Test Loss: 11.303261756896973	Accuracy: 2.160000056028366%
Epoch: 5/100	Batch Loss:10.303168423273272	Test Loss: 11.302403450012207	Accuracy: 2.2199999541044235%
Epoch: 6/100	Batch Loss:10.302570651083858	Test Loss: 11.301835060119629	Accuracy: 2.0600000396370888%
Epoch: 7/100	Batch Loss:10.30187133967817	Test Loss: 11.301986694335938	Accuracy: 2.0999999716877937%
Epoch: 8/100	Batch Loss:10.301047735889316	Test Loss: 11.300593376159668	Accuracy: 2.459999918937683%
Epoch: 9/100	Batch Loss:10.300062290811587	Test Loss: 11.29983139038086	Accuracy: 2.3000000044703484%
Epoch: 10/100	Batch Loss:10.298884879556278	Test Loss: 11.298748016357422	Accuracy: 2.72000003606081%
Epoch: 11/100	Batch Loss:10.29746984270729	Test Loss: 11.297210693359375	Accuracy: 2.800000086426735%
Epoch: 12/100	Batch Loss:10.295761595219226	Test Loss: 11.294997215270996	Accuracy: 2.940000034868717%
Epoch: 13/100	Batch Loss:10.293697812621401	Test Loss: 11.293318748474121	Accuracy: 2.8599999845027924%
Epoch: 14/100	Batch Loss:10.291198014499896	Test Loss: 11.291135787963867	Accuracy: 2.759999968111515%
Epoch: 15/100	Batch Loss:10.288174481834039	Test Loss: 11.281386375427246	Accuracy: 3.4600000828504562%
Epoch: 16/100	Batch Loss:10.284495873798283	Test Loss: 11.2813720703125	Accuracy: 3.6800000816583633%
Epoch: 17/100	Batch Loss:10.280026902705579	Test Loss: 11.281899452209473	Accuracy: 3.359999880194664%
Epoch: 18/100	Batch Loss:10.274631208341832	Test Loss: 11.255390167236328	Accuracy: 4.080000147223473%
Epoch: 19/100	Batch Loss:10.26803282892716	Test Loss: 11.269186973571777	Accuracy: 3.660000115633011%
Epoch: 20/100	Batch Loss:10.260078659323847	Test Loss: 11.235661506652832	Accuracy: 4.38000001013279%
Epoch: 21/100	Batch Loss:10.25043146869359	Test Loss: 11.240304946899414	Accuracy: 3.9799999445676804%
Epoch: 22/100	Batch Loss:10.238991815333115	Test Loss: 11.22254753112793	Accuracy: 3.840000182390213%
Epoch: 23/100	Batch Loss:10.226264399284142	Test Loss: 11.234026908874512	Accuracy: 3.9400000125169754%
Epoch: 24/100	Batch Loss:10.215520413780022	Test Loss: 11.230731010437012	Accuracy: 3.799999877810478%
Epoch: 25/100	Batch Loss:10.210818140480598	Test Loss: 11.213713645935059	Accuracy: 3.8199998438358307%
Epoch: 26/100	Batch Loss:10.2098741398257	Test Loss: 11.194879531860352	Accuracy: 3.9400000125169754%
Epoch: 27/100	Batch Loss:10.209607545542694	Test Loss: 11.216960906982422	Accuracy: 4.080000147223473%
Epoch: 28/100	Batch Loss:10.209459775466387	Test Loss: 11.181878089904785	Accuracy: 4.179999977350235%
Epoch: 29/100	Batch Loss:10.209270218671378	Test Loss: 11.200372695922852	Accuracy: 3.6400001496076584%
Epoch: 30/100	Batch Loss:10.20908303988182	Test Loss: 11.202802658081055	Accuracy: 4.259999841451645%
Epoch: 31/100	Batch Loss:10.208916067007413	Test Loss: 11.199514389038086	Accuracy: 4.340000078082085%
Epoch: 32/100	Batch Loss:10.208760807307387	Test Loss: 11.172770500183105	Accuracy: 5.099999904632568%
Epoch: 33/100	Batch Loss:10.208555216803507	Test Loss: 11.190553665161133	Accuracy: 4.1600000113248825%
Epoch: 34/100	Batch Loss:10.208354110375478	Test Loss: 11.207027435302734	Accuracy: 3.7799999117851257%
Epoch: 35/100	Batch Loss:10.20815402798258	Test Loss: 11.222896575927734	Accuracy: 3.880000114440918%
Epoch: 36/100	Batch Loss:10.207980530568634	Test Loss: 11.20787239074707	Accuracy: 4.699999839067459%
Epoch: 37/100	Batch Loss:10.207804335673096	Test Loss: 11.192614555358887	Accuracy: 4.100000113248825%
Epoch: 38/100	Batch Loss:10.207588665506776	Test Loss: 11.217963218688965	Accuracy: 4.019999876618385%
Epoch: 39/100	Batch Loss:10.207390576987299	Test Loss: 11.215123176574707	Accuracy: 4.500000178813934%
Epoch: 40/100	Batch Loss:10.207203316427062	Test Loss: 11.211331367492676	Accuracy: 4.619999974966049%
Epoch: 41/100	Batch Loss:10.20699528421267	Test Loss: 11.22195816040039	Accuracy: 4.06000018119812%
Epoch: 42/100	Batch Loss:10.206828264747992	Test Loss: 11.19121265411377	Accuracy: 4.619999974966049%
Epoch: 43/100	Batch Loss:10.206604767416197	Test Loss: 11.20840072631836	Accuracy: 4.899999871850014%
Epoch: 44/100	Batch Loss:10.206415826753748	Test Loss: 11.194130897521973	Accuracy: 4.14000004529953%
Epoch: 45/100	Batch Loss:10.206200547375209	Test Loss: 11.207651138305664	Accuracy: 4.560000076889992%
